Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
Hubei;China;2020-03-17T11:53:10;67799;3111;56003
;Italy;2020-03-17T18:33:02;31506;2503;2941
;Iran;2020-03-17T15:13:09;16169;988;5389
;Spain;2020-03-17T20:53:02;11748;533;1028
;Germany;2020-03-17T18:53:02;9257;24;67
;Korea, South;2020-03-17T10:33:03;8320;81;1407
France;France;2020-03-17T19:13:08;7652;148;12
;Switzerland;2020-03-17T16:33:04;2700;27;4
United Kingdom;United Kingdom;2020-03-17T15:13:09;1950;55;52
New York;US;2020-03-17T22:53:03;1706;13;0
Netherlands;Netherlands;2020-03-17T15:13:11;1705;43;2
;Norway;2020-03-17T19:53:02;1463;3;1
Guangdong;China;2020-03-17T01:53:03;1364;8;1307
;Austria;2020-03-17T15:33:06;1332;3;1
Henan;China;2020-03-14T09:53:08;1273;22;1250
;Belgium;2020-03-17T15:33:06;1243;10;1
Zhejiang;China;2020-03-17T02:13:21;1232;1;1216
;Sweden;2020-03-17T15:33:06;1190;7;1
Washington;US;2020-03-17T23:33:03;1076;55;1
Hunan;China;2020-03-14T08:33:03;1018;4;1014
Anhui;China;2020-03-11T02:18:14;990;6;984
Denmark;Denmark;2020-03-17T16:33:04;977;4;1
Jiangxi;China;2020-03-12T02:13:04;935;1;934
;Japan;2020-03-17T16:53:04;878;29;144
Shandong;China;2020-03-17T00:33:02;761;7;746
California;US;2020-03-17T22:53:03;698;12;6
Diamond Princess;Cruise Ship;2020-03-13T14:13:25;696;7;325
;Malaysia;2020-03-17T15:33:06;673;2;49
Jiangsu;China;2020-03-15T01:53:02;631;0;631
Chongqing;China;2020-03-15T03:53:04;576;6;570
Sichuan;China;2020-03-17T08:33:02;540;3;520
Heilongjiang;China;2020-03-17T01:33:02;482;13;456
Beijing;China;2020-03-17T10:53:03;456;8;369
;Portugal;2020-03-17T15:33:06;448;1;3
;Qatar;2020-03-16T15:13:09;439;0;4
;Czechia;2020-03-17T15:33:06;396;0;3
;Greece;2020-03-17T16:33:04;387;5;8
Shanghai;China;2020-03-17T02:13:20;358;3;325
;Israel;2020-03-17T20:53:02;337;0;11
;Brazil;2020-03-17T15:33:06;321;1;2
;Finland;2020-03-17T12:33:06;321;0;10
Hebei;China;2020-03-13T11:09:03;318;6;310
Fujian;China;2020-03-11T02:18:14;296;1;295
;Slovenia;2020-03-17T16:53:04;275;1;0
New Jersey;US;2020-03-17T20:13:22;267;3;1
;Singapore;2020-03-17T15:33:06;266;0;114
Guangxi;China;2020-03-17T00:33:02;253;2;248
Shaanxi;China;2020-03-17T10:53:03;246;3;236
;Poland;2020-03-17T20:53:02;238;5;13
;Pakistan;2020-03-17T15:33:06;236;0;2
;Bahrain;2020-03-17T03:13:15;228;1;81
;Estonia;2020-03-17T10:33:03;225;0;1
;Ireland;2020-03-17T02:53:03;223;2;5
;Iceland;2020-03-17T15:33:06;220;1;0
Massachusetts;US;2020-03-17T22:53:02;218;0;1
Florida;US;2020-03-17T23:33:02;216;6;0
New South Wales;Australia;2020-03-17T12:33:07;210;4;4
;Chile;2020-03-17T15:33:06;201;0;0
;Egypt;2020-03-17T18:13:10;196;4;32
Louisiana;US;2020-03-17T22:53:03;196;4;0
;Philippines;2020-03-17T10:33:03;187;12;5
Ontario;Canada;2020-03-17T16:53:04;185;1;5
;Romania;2020-03-17T10:33:03;184;0;16
;Thailand;2020-03-17T10:33:03;177;1;41
Yunnan;China;2020-03-16T23:53:02;176;2;172
;Indonesia;2020-03-17T10:33:03;172;5;8
;Saudi Arabia;2020-03-17T17:53:03;171;0;6
Hainan;China;2020-03-16T14:38:45;168;6;161
Hong Kong;China;2020-03-17T10:13:11;162;4;88
Illinois;US;2020-03-17T22:53:03;161;1;2
Colorado;US;2020-03-17T22:53:03;160;2;0
;Iraq;2020-03-17T15:33:06;154;11;32
Guizhou;China;2020-03-17T07:33:03;147;2;144
Georgia;US;2020-03-17T20:13:22;146;1;0
;India;2020-03-17T15:33:06;142;3;14
;Luxembourg;2020-03-17T15:33:06;140;1;0
Tianjin;China;2020-03-15T18:20:18;136;3;133
Gansu;China;2020-03-15T18:20:18;133;2;91
Shanxi;China;2020-03-13T11:09:03;133;0;133
;Kuwait;2020-03-17T10:53:03;130;0;9
Liaoning;China;2020-03-17T12:13:13;125;1;120
;Lebanon;2020-03-17T10:53:03;120;3;3
;Peru;2020-03-17T15:53:12;117;0;1
;Russia;2020-03-17T15:53:12;114;0;8
Pennsylvania;US;2020-03-17T23:13:10;112;0;0
Texas;US;2020-03-17T20:13:22;110;1;0
;San Marino;2020-03-16T01:33:03;109;7;4
British Columbia;Canada;2020-03-16T19:13:13;103;4;4
;United Arab Emirates;2020-03-16T00:22:11;98;0;23
Victoria;Australia;2020-03-17T12:53:09;94;0;8
Jilin;China;2020-03-16T00:22:10;93;1;92
;Mexico;2020-03-17T10:53:03;82;0;4
;Armenia;2020-03-17T19:33:02;78;0;1
Queensland;Australia;2020-03-17T12:33:07;78;0;8
;Taiwan*;2020-03-17T08:13:11;77;1;22
Xinjiang;China;2020-03-11T02:18:14;76;3;73
Inner Mongolia;China;2020-03-16T14:38:45;75;1;73
Ningxia;China;2020-03-16T14:38:45;75;0;75
Alberta;Canada;2020-03-17T03:13:18;74;0;0
Quebec;Canada;2020-03-17T19:33:03;74;0;0
Tennessee;US;2020-03-17T23:13:10;74;0;0
;Slovakia;2020-03-17T02:13:34;72;0;0
Wisconsin;US;2020-03-17T20:13:22;72;0;1
;Panama;2020-03-17T10:53:03;69;1;0
;Argentina;2020-03-17T15:53:12;68;2;3
Connecticut;US;2020-03-17T23:13:10;68;0;0
;Bulgaria;2020-03-17T10:53:03;67;2;0
Ohio;US;2020-03-17T20:53:02;67;0;0
Virginia;US;2020-03-17T20:13:22;67;2;0
Oregon;US;2020-03-17T23:13:10;66;1;0
;Vietnam;2020-03-17T15:53:12;66;0;16
;Colombia;2020-03-17T15:53:12;65;0;1
;Croatia;2020-03-17T10:53:03;65;0;4
;Serbia;2020-03-17T11:13:18;65;0;1
Michigan;US;2020-03-17T20:53:02;65;0;0
North Carolina;US;2020-03-17T23:13:10;64;0;0
;South Africa;2020-03-16T14:38:45;62;0;0
;Algeria;2020-03-17T03:13:15;60;4;12
Maryland;US;2020-03-17T16:13:14;60;0;3
Minnesota;US;2020-03-17T17:53:03;60;0;0
;Ecuador;2020-03-17T03:13:15;58;2;0
;Brunei;2020-03-17T15:53:12;56;0;0
Nevada;US;2020-03-17T23:33:02;56;1;0
;Albania;2020-03-17T15:53:12;55;1;0
Utah;US;2020-03-17T20:53:02;51;0;0
;Hungary;2020-03-17T11:13:29;50;1;2
;Latvia;2020-03-17T11:13:29;49;0;1
Faroe Islands;Denmark;2020-03-17T10:13:13;47;0;0
;Turkey;2020-03-17T22:13:16;47;1;0
Diamond Princess;US;2020-03-16T16:53:06;47;0;0
South Carolina;US;2020-03-17T23:13:10;47;1;0
;Cyprus;2020-03-17T03:13:15;46;0;0
;Sri Lanka;2020-03-17T15:53:12;44;0;1
;Costa Rica;2020-03-17T03:13:15;41;0;0
;Andorra;2020-03-17T20:53:02;39;0;1
Alabama;US;2020-03-17T23:13:10;39;0;0
;Malta;2020-03-17T15:53:12;38;0;2
;Morocco;2020-03-17T15:53:12;38;2;1
;Belarus;2020-03-16T14:38:45;36;0;3
;Georgia;2020-03-17T11:13:29;34;0;1
;Jordan;2020-03-17T11:13:29;34;0;1
;Cambodia;2020-03-17T15:53:13;33;0;1
;Kazakhstan;2020-03-17T15:53:12;33;0;0
;Venezuela;2020-03-17T11:33:05;33;0;0
Maine;US;2020-03-17T17:53:03;32;0;0
Western Australia;Australia;2020-03-17T12:53:09;31;1;0
;Moldova;2020-03-17T15:53:12;30;0;1
Indiana;US;2020-03-17T23:13:10;30;2;0
South Australia;Australia;2020-03-16T14:38:46;29;0;3
;Uruguay;2020-03-17T02:13:54;29;0;0
;Azerbaijan;2020-03-17T11:53:10;28;1;6
;Bosnia and Herzegovina;2020-03-17T15:53:12;26;0;2
;North Macedonia;2020-03-17T11:53:10;26;0;1
;Senegal;2020-03-17T12:33:06;26;0;2
Kentucky;US;2020-03-17T23:33:02;26;1;1
New Hampshire;US;2020-03-17T23:13:10;26;0;0
;Lithuania;2020-03-17T18:53:02;25;0;1
;Oman;2020-03-17T11:53:10;24;0;9
;Tunisia;2020-03-17T11:53:10;24;0;0
Iowa;US;2020-03-16T23:53:03;23;0;0
New Mexico;US;2020-03-17T23:13:10;23;0;0
Rhode Island;US;2020-03-17T20:53:02;23;0;0
